n_qubits,depth,entanglement_topology,cost_type,encoding_type,param_index,layer_id,param_grad_variance_across_seeds,log10_param_grad_variance
4,6,linear,local,angle,29,2,9.107344138408931e-05,-4.040608252466849
4,6,linear,local,angle,30,2,4.702660005301845e-05,-4.327656418906241
4,6,linear,local,angle,31,2,4.192068717534732e-05,-4.377571606892283
4,6,linear,local,angle,32,2,6.558734758126002e-05,-4.1831799320513845
4,6,linear,local,angle,33,2,0.00011861486271459582,-3.9258608894665468
4,6,linear,local,angle,34,2,0.00015851223766610522,-3.7999372031894634
4,6,linear,local,angle,35,2,8.356347931550775e-05,-4.077983485684695
4,6,linear,local,angle,36,3,0.00010160739211846514,-3.9930746952068574
4,6,linear,local,angle,37,3,0.00010826912584261084,-3.9654953696701054
4,6,linear,local,angle,38,3,9.909906284572969e-05,-4.003930452506175
4,6,linear,local,angle,39,3,0.00011537785229138289,-3.937877549505822
4,6,linear,local,angle,40,3,0.00012383708419523682,-3.907149282216955
4,6,linear,local,angle,41,3,0.00017939479107758716,-3.746190171320372
4,6,linear,local,angle,42,3,0.00010756704753890692,-3.968320751567824
4,6,linear,local,angle,43,3,0.00017018716671404885,-3.7690731918155045
4,6,linear,local,angle,44,3,0.00010759051852115705,-3.9682259994445017
4,6,linear,local,angle,45,3,0.00014144651411894803,-3.8494077510529427
4,6,linear,local,angle,46,3,0.00013082414400598263,-3.883312098206447
4,6,linear,local,angle,47,3,9.630177107404955e-05,-4.016365725745518
4,6,linear,local,angle,48,4,5.7913670269967864e-05,-4.237218910848287
4,6,linear,local,angle,49,4,9.524539715784551e-05,-4.021156002920057
4,6,linear,local,angle,50,4,7.208106147153204e-05,-4.142178826526291
4,6,linear,local,angle,51,4,0.0001249478342323403,-3.9032712672613834
4,6,linear,local,angle,52,4,9.850468748801464e-05,-4.006543102479638
4,6,linear,local,angle,53,4,9.784308943833504e-05,-4.009469842717089
4,6,linear,local,angle,54,4,0.00010023129499568167,-3.9989966584894034
4,6,linear,local,angle,55,4,0.00016603552077390667,-3.7797989913222763
4,6,linear,local,angle,56,4,0.00011176720804556529,-3.9516855976466534
4,6,linear,local,angle,57,4,7.757797159726813e-05,-4.110261579925831
4,6,linear,local,angle,58,4,7.497605621507189e-05,-4.125077407460447
4,6,linear,local,angle,59,4,0.00012208130734661616,-3.9133508285833196
4,6,linear,local,angle,60,5,9.529928308927755e-05,-4.02091036642927
4,6,linear,local,angle,61,5,9.989084120232695e-05,-4.000474329568158
4,6,linear,local,angle,62,5,0.00010010158086579647,-3.999559063820674
4,6,linear,local,angle,63,5,6.935963702282652e-05,-4.158893188302838
4,6,linear,local,angle,64,5,8.948019279949522e-05,-4.048273088816951
4,6,linear,local,angle,65,5,9.885625452034507e-05,-4.004995848173857
4,6,linear,local,angle,66,5,0.00013526914987218108,-3.8688012393814764
4,6,linear,local,angle,67,5,8.319409739406108e-05,-4.079907485730007
4,6,linear,local,angle,68,5,9.19041920470147e-05,-4.036664678588161
4,6,linear,local,angle,69,5,0.00010424703436191713,-3.9819362910647524
4,6,linear,local,angle,70,5,9.250521315287092e-05,-4.033833791804442
4,6,linear,local,angle,71,5,0.00010615535840984606,-3.9740580790383153
4,6,linear,global,angle,0,0,1.0123220440772393e-05,-4.994681305958095
4,6,linear,global,angle,1,0,1.1582286999866823e-05,-4.936205677797207
4,6,linear,global,angle,2,0,1.5141398163522892e-05,-4.819834020036297
4,6,linear,global,angle,3,0,1.3930442375594381e-05,-4.856035091886946
4,6,linear,global,angle,4,0,2.024442889364448e-05,-4.693694470406423
4,6,linear,global,angle,5,0,1.4173072950295623e-05,-4.848535977510587
4,6,linear,global,angle,6,0,1.1753567983572595e-05,-4.929830276340576
4,6,linear,global,angle,7,0,1.4221094239971927e-05,-4.84706698559653
4,6,linear,global,angle,8,0,9.185879367603011e-06,-5.036879262197907
4,6,linear,global,angle,9,0,1.5004692022136971e-05,-4.823772914231739
4,6,linear,global,angle,10,0,1.0150837172224716e-05,-4.993498138609447
4,6,linear,global,angle,11,0,1.3199540001276007e-05,-4.879441203520552
4,6,linear,global,angle,12,1,1.3832158313757217e-05,-4.859110049057608
4,6,linear,global,angle,13,1,1.1884078896111893e-05,-4.925034473661347
4,6,linear,global,angle,14,1,1.3447695202062167e-05,-4.8713521429328495
4,6,linear,global,angle,15,1,1.310893078605021e-05,-4.88243272956507
